State,City,Median-Salary
Alabama,Anniston-Oxford-Jacksonville,86620
Alabama,Auburn-Opelika,95360
Alabama,Birmingham-Hoover,105930
Alabama,Columbus,111370
Alabama,Daphne-Fairhope-Foley,101050
Alabama,Decatur,114910
Alabama,Dothan,90850
Alabama,Florence-Muscle-Shoals,90440
Alabama,Huntsville,120260
Alabama,Mobile,105530
Alabama,Montgomery,100350
Alabama,Tuscaloosa,97650
Alaska,Anchorage,143420
Arizona,Flagstaff,110110
Arizona,Lake-Havasu-City-Kingman,114520
Arizona,Phoenix-Mesa-Scottsdale,129100
Arizona,Prescott,121000
Arizona,Sierra-Vista-Douglas,119440
Arizona,Tucson,125750
Arizona,Yuma,111150
Arkansas,Fayetteville-Springdale-Rogers,100160
Arkansas,Fort-Smith,96200
Arkansas,Hot-Springs,113990
Arkansas,Jonesboro,89620
Arkansas,Little-Rock-North-Conway,101500
Arkansas,Memphis,115680
Arkansas,Texarkana,107010
California,Bakersfield,135060
California,Chico,120990
California,El-Centro,121360
California,Frenso,127890
California,Los-Angeles-Long-Beach-Anaheim,151780
California,Madera,112190
California,Merced,128600
California,Modesto,120850
California,Napa,147020
California,Oxnard-Thousand-Oaks-Ventura,139920
California,Redding,129290
California,Riverside-San-Bernardino-Ontario,134400
California,Sacramento-Roseville-Arden-Arcade,146490
California,Salinas,142360
California,San-Diego-Carlsbad,152270
California,San-Francisco-Oakland-Hayward,181220
California,San-Jose-Sunnyvale-Santa-Clara,199800
California,San-Luis-Obispo-Paso-Robles-Arroyo-Grande,136220
California,Santa-Cruz-Watsonville,141830
California,Santa-Maria-Santa-Barbara,156470
California,Santa-Rosa,144350
California,Stockton-Lodi,134060
California,Vallejo-Fairfield,135490
California,Visalia-Porterville,132550
California,Yuba-City,136130
Colorado,Boulder,182650
Colorado,Colorado-Springs,133200
Colorado,Denver-Aurora-Lakewood,139670
Colorado,Fort-Collins,128170
Colorado,Grand-Junction,117890
Colorado,Greeley,129550
Colorado,Pueblo,116140
Connecticut,Bridgeport-Stamford-Norwalk,141690
Connecticut,Danbury,127040
Connecticut,Hartford,124980
Connecticut,New-Haven,123000
Connecticut,Norwich-New-London-Westerly,119010
Connecticut,Springfield,117900
Delaware,Dover,115910
Delaware,Philadelphia-Camden-Wilmington,125850
Delaware,Salisbury,127150
District of Columbia,Washington-Arlington-Alexandria,148480
Florida,Cape-Coral-Fort-Myers,115160
Florida,Crestview-Fort-Walton-Beach-Destin,118340
Florida,Deltona-Daytona-Beach-Ormond-Beach,109920
Florida,Gainesville,96580
Florida,Homosassa-Springs,117750
Florida,Jacksonville,118560
Florida,Lakeland-Winter-Haven,109240
Florida,Miami-Fort-Lauderdale-West-Palm-Beach,125700
Florida,Naples-Immokalee-Marco-Island,121080
Florida,North-Port-Sarasota-Bradenton,119340
Florida,Ocala,112750
Florida,Orlando-Kissimmee-Sanford,116600
Florida,Palm-Bay-Melbourne-Titusville,126200
Florida,Panama-City,107280
Florida,Pensacola-Ferry-Pass-Brent,103790
Florida,Port-St.-Lucie,113530
Florida,Punta-Gorda,120160
Florida,Sebastian-Vero-Beach,110040
Florida,Tallahassee,97020
Florida,Tampa-St.-Petersburg-Clearwater,117010
Florida,The-Villages,103680
Georgia,Athens-Clarke-County,99530
Georgia,Atlanta-Sandy-Springs-Roswell,127720
Georgia,Augusta-Richmond-County,116830
Georgia,Brunswick,112200
Georgia,Chattanooga,107290
Georgia,Columbus,111370
Georgia,Dalton,103830
Georgia,Gainesville,121070
Georgia,Macon,117090
Georgia,Rome,117330
Georgia,Savannah,111870
Georgia,Valdosta,100730
Georgia,Warner-Robins,110900
Hawaii,Kahului-Wailuku-Lahaina
Hawaii,Urban-Honolulu
Idaho,Boise-City
Idaho,Coeur-d'Alene
Idaho,Idaho-Falls
Idaho,Lewiston
Idaho,Logan
Idaho,Pocatello
Idaho,Twin-Falls
Illinois,Bloomington
Illinois,Cape-Girardeau
Illinois,Carbondale-Marion
Illinois,Champaign-Urbana
Illinois,Chicago-Naperville-Elgin
Illinois,Danville
Illinois,Davenport-Moline-Rock-Island
Illinois,Decatur
Illinois,Kankakee
Illinois,Peoria
Illinois,Rockford
Illinois,St.-Louis
Illinois,Springfield
Indiana,Bloomington
Indiana,Chicago-Naperville-Elgin
Indiana,Cincinnati
Indiana,Columbus
Indiana,Elkhart-Goshen
Indiana,Evansville
Indiana,Fort-Wayne
Indiana,Indianapolis-Carmel-Anderson
Indiana,Kokomo
Indiana,Lafayette-West-Lafayette
Indiana,Louisville
Indiana,Michigan-City-La-Porte
Indiana,Muncie
Indiana,South-Bend-Mishawaka
Indiana,Terre-Haute
Iowa,Ames
Iowa,Cedar-Rapids
Iowa,Davenport-Moline-Rock-Island
Iowa,Des-Moines-West-Des-Moines
Iowa,Dubuque
Iowa,Iowa-City
Iowa,Omaha-Council-Bluffs
Iowa,Sioux-City
Iowa,Waterloo-Cedar-Falls
Kansas,Kansas-City
Kansas,Lawrence
Kansas,Manhattan
Kansas,St.-Joseph
Kansas,Topeka
Kansas,Wichita
Kentucky,Bowling-Green
Kentucky,Cincinnati
Kentucky,Clarksville
Kentucky,Elizabethtown-Fort-Knox
Kentucky,Evansville
Kentucky,Huntington-Ashland
Kentucky,Lexington-Fayette
Kentucky,Louisville
Kentucky,Owensboro
Louisiana,Alexandria
Louisiana,Baton-Rouge
Louisiana,Hammond
Louisiana,Houma-Thibodaux
Louisiana,Lafayette
Louisiana,Lake-Charles
Louisiana,Monroe
Louisiana,New-Orleans-Metairie
Louisiana,Shreveport-Bossier-City
Maine,Bangor
Maine,Dover-Durham
Maine,Lewiston-Auburn
Maine,Portland-South-Portland
Maine,Portsmouth
Maryland,Baltimore-Columbia-Towson
Maryland,California-Lexington-Park
Maryland,Cumberland
Maryland,Hagerstown-Martinsburg
Maryland,Philadelphia-Camden-Wilmington
Maryland,Salisbury
Maryland,Washington-Arlington-Alexandria
Massachusetts,Barnstable-Town
Massachusetts,Boston-Cambridge-Nashua
Massachusetts,Leominster-Gardner
Massachusetts,New-Bedford
Massachusetts,Pittsfield
Massachusetts,Providence-Warwick
Massachusetts,Springfield
Massachusetts,Worcester
Michigan,Ann-Arbor
Michigan,Battle-Creek
Michigan,Bay-City
Michigan,Detroit-Warren-Dearborn
